data,familias,valor,programa
2004-01-01,3615861,263265315.0,Bolsa Família
2004-02-01,3615861,263258565.0,Bolsa Família
2004-03-01,3666020,265752730.0,Bolsa Família
2004-04-01,3766737,269441935.0,Bolsa Família
2004-05-01,3967829,280141245.0,Bolsa Família
2004-06-01,4103013,288166955.0,Bolsa Família
2004-07-01,4279542,298459485.0,Bolsa Família
2004-08-01,4550466,315019615.0,Bolsa Família
2004-09-01,5035657,346686645.0,Bolsa Família
2004-10-01,5385597,366929702.0,Bolsa Família
2004-11-01,5948883,394792241.0,Bolsa Família
2004-12-01,6571839,439870605.0,Bolsa Família
2005-01-01,6572060,430841390.0,Bolsa Família
2005-02-01,6556131,429863637.0,Bolsa Família
2005-03-01,6562152,430198110.0,Bolsa Família
2005-04-01,6732122,439250220.0,Bolsa Família
2005-05-01,7033153,459869972.0,Bolsa Família
2005-06-01,7031669,459768106.0,Bolsa Família
2005-07-01,7319714,474590721.0,Bolsa Família
2005-08-01,7523795,488127091.0,Bolsa Família
2005-09-01,7668002,495910659.0,Bolsa Família
2005-10-01,8005712,512558075.0,Bolsa Família
2005-11-01,8175540,521303533.0,Bolsa Família
2005-12-01,8700445,549385527.0,Bolsa Família
2006-01-01,8644196,537781906.0,Bolsa Família
2006-02-01,8707056,540021556.0,Bolsa Família
2006-03-01,8789532,543779656.0,Bolsa Família
2006-04-01,8998021,555778844.0,Bolsa Família
2006-05-01,9229324,567298676.0,Bolsa Família
2006-06-01,11166924,681860977.0,Bolsa Família
2006-07-01,11120353,683130503.0,Bolsa Família
2006-08-01,11101180,682663673.0,Bolsa Família
2006-09-01,11017689,678098309.0,Bolsa Família
2006-10-01,11009341,680080588.0,Bolsa Família
2006-11-01,11098076,687464822.0,Bolsa Família
2006-12-01,10965810,686701812.0,Bolsa Família
2007-01-01,10908452,683456074.0,Bolsa Família
2007-02-01,11035371,692507061.0,Bolsa Família
2007-03-01,11071446,695503795.0,Bolsa Família
2007-04-01,11046468,694543155.0,Bolsa Família
2007-05-01,11155467,703172961.0,Bolsa Família
2007-06-01,10749655,683553545.0,Bolsa Família
2007-07-01,10891898,692953459.0,Bolsa Família
2007-08-01,10956436,819728871.0,Bolsa Família
2007-09-01,10960874,819429429.0,Bolsa Família
2007-10-01,11037575,826640263.0,Bolsa Família
2007-11-01,10952346,822904297.0,Bolsa Família
2007-12-01,11043076,831106698.0,Bolsa Família
2008-01-01,11007829,830163691.0,Bolsa Família
2008-02-01,11129327,838936498.0,Bolsa Família
2008-03-01,11039571,854003335.0,Bolsa Família
2008-04-01,10976312,850107871.0,Bolsa Família
2008-05-01,11086349,864197458.0,Bolsa Família
2008-06-01,11075201,865864797.0,Bolsa Família
2008-07-01,11013323,932963786.0,Bolsa Família
2008-08-01,10988859,931753712.0,Bolsa Família
2008-09-01,10842708,928954403.0,Bolsa Família
2008-10-01,10654226,892892933.0,Bolsa Família
2008-11-01,10651006,910761812.0,Bolsa Família
2008-12-01,10557996,905899897.0,Bolsa Família
2009-01-01,11167140,934791868.0,Bolsa Família
2009-02-01,11030504,936229488.0,Bolsa Família
2009-03-01,11222689,954013815.0,Bolsa Família
2009-04-01,11250623,954280525.0,Bolsa Família
2009-05-01,11611680,981962175.0,Bolsa Família
2009-06-01,11561570,1000749856.0,Bolsa Família
2009-07-01,11535150,994701200.0,Bolsa Família
2009-08-01,12073431,1035693894.0,Bolsa Família
2009-09-01,11994309,1135409587.0,Bolsa Família
2009-10-01,12486021,1177198829.0,Bolsa Família
2009-11-01,12472540,1175405068.0,Bolsa Família
2009-12-01,12370915,1174266196.0,Bolsa Família
2010-01-01,12500294,1153987854.0,Bolsa Família
2010-02-01,12407776,1154816905.0,Bolsa Família
2010-03-01,12494008,1169758590.0,Bolsa Família
2010-04-01,12548861,1178505973.0,Bolsa Família
2010-05-01,12467599,1177262338.0,Bolsa Família
2010-06-01,12649019,1195663175.0,Bolsa Família
2010-07-01,12582844,1192738738.0,Bolsa Família
2010-08-01,12740644,1212200292.0,Bolsa Família
2010-09-01,12769155,1227998637.0,Bolsa Família
2010-10-01,12632150,1244780937.0,Bolsa Família
2010-11-01,12682603,1225947346.0,Bolsa Família
2010-12-01,12778220,1239042080.0,Bolsa Família
2011-01-01,12851345,1210230621.0,Bolsa Família
2011-02-01,12946313,1224704614.0,Bolsa Família
2011-03-01,12944676,1224307029.0,Bolsa Família
2011-04-01,13058476,1471589861.0,Bolsa Família
2011-05-01,12986870,1467768035.0,Bolsa Família
2011-06-01,12999560,1470915862.0,Bolsa Família
2011-07-01,12952039,1466578595.0,Bolsa Família
2011-08-01,12805037,1482229047.0,Bolsa Família
2011-09-01,13179472,1573687473.0,Bolsa Família
2011-10-01,13171810,1571790011.0,Bolsa Família
2011-11-01,13306920,1594506647.0,Bolsa Família
2011-12-01,13361495,1605970114.0,Bolsa Família
2012-01-01,13330714,1561780652.0,Bolsa Família
2012-02-01,13407291,1576648327.0,Bolsa Família
2012-03-01,13394893,1584600515.0,Bolsa Família
2012-04-01,13462104,1624325445.0,Bolsa Família
2012-05-01,13530036,1637664434.0,Bolsa Família
2012-06-01,13462659,1807067958.0,Bolsa Família
2012-07-01,13524123,1827704006.0,Bolsa Família
2012-08-01,13770339,1870629152.0,Bolsa Família
2012-09-01,13724590,1875032856.0,Bolsa Família
2012-10-01,13758254,1886184830.0,Bolsa Família
2012-11-01,13834007,1892374956.0,Bolsa Família
2012-12-01,13902155,2012731564.0,Bolsa Família
2013-01-01,13835986,1970843426.0,Bolsa Família
2013-02-01,13557535,1964147370.0,Bolsa Família
2013-03-01,13872243,2076786312.0,Bolsa Família
2013-04-01,13647478,2051462250.0,Bolsa Família
2013-05-01,13773316,2080949976.0,Bolsa Família
2013-06-01,13581604,2073512475.0,Bolsa Família
2013-07-01,13773543,2100575175.0,Bolsa Família
2013-08-01,13765514,2102688653.0,Bolsa Família
2013-09-01,13841665,2108752902.0,Bolsa Família
2013-10-01,13830512,2111438334.0,Bolsa Família
2013-11-01,13830095,2109624527.0,Bolsa Família
2013-12-01,14086199,2139325691.0,Bolsa Família
2014-01-01,14045570,2110618798.0,Bolsa Família
2014-02-01,14084341,2121091032.0,Bolsa Família
2014-03-01,14053368,2112724614.0,Bolsa Família
2014-04-01,14145274,2114101718.0,Bolsa Família
2014-05-01,13940270,2087755338.0,Bolsa Família
2014-06-01,14069537,2367916901.0,Bolsa Família
2014-07-01,14204279,2406363186.0,Bolsa Família
2014-08-01,13963135,2375130456.0,Bolsa Família
2014-09-01,13983073,2378558310.0,Bolsa Família
2014-10-01,13982038,2372284427.0,Bolsa Família
2014-11-01,14047474,2376489442.0,Bolsa Família
2014-12-01,14003441,2367019543.0,Bolsa Família
2015-01-01,13980524,2342594866.0,Bolsa Família
2015-02-01,14014252,2349028965.0,Bolsa Família
2015-03-01,13978783,2344813836.0,Bolsa Família
2015-04-01,13755692,2308012264.0,Bolsa Família
2015-05-01,13732792,2306454411.0,Bolsa Família
2015-06-01,13716766,2301404544.0,Bolsa Família
2015-07-01,13827369,2311298975.0,Bolsa Família
2015-08-01,13797102,2295059989.0,Bolsa Família
2015-09-01,13880362,2288362252.0,Bolsa Família
2015-10-01,13971124,2285199624.0,Bolsa Família
2015-11-01,13782217,2247275686.0,Bolsa Família
2015-12-01,13936791,2270795927.0,Bolsa Família
2016-01-01,13969390,2252639821.0,Bolsa Família
2016-02-01,13966599,2245197494.0,Bolsa Família
2016-03-01,13840988,2223324571.0,Bolsa Família
2016-04-01,13892145,2237918660.0,Bolsa Família
2016-05-01,13812535,2234191747.0,Bolsa Família
2016-06-01,13805497,2237424572.0,Bolsa Família
2016-07-01,13904110,2532511385.0,Bolsa Família
2016-08-01,13847654,2528917368.0,Bolsa Família
2016-09-01,13883830,2527269321.0,Bolsa Família
2016-10-01,13947905,2538278030.0,Bolsa Família
2016-11-01,13550230,2490323125.0,Bolsa Família
2016-12-01,13569086,2458172701.0,Bolsa Família
2017-01-01,13560521,2426682591.0,Bolsa Família
2017-02-01,13659628,2453677326.0,Bolsa Família
2017-03-01,13606714,2428264849.0,Bolsa Família
2017-04-01,13487271,2416084222.0,Bolsa Família
2017-05-01,13313779,2402987404.0,Bolsa Família
2017-06-01,13284029,2397698655.0,Bolsa Família
2017-07-01,12740640,2311085525.0,Bolsa Família
2017-08-01,13495513,2425517419.0,Bolsa Família
2017-09-01,13417699,2410317893.0,Bolsa Família
2017-10-01,13562215,2432634543.0,Bolsa Família
2017-11-01,13676037,2460195048.0,Bolsa Família
2017-12-01,13828607,2480967166.0,Bolsa Família
2018-01-01,14001337,2498595307.0,Bolsa Família
2018-02-01,14080826,2497795214.0,Bolsa Família
2018-03-01,14165037,2508134955.0,Bolsa Família
2018-04-01,13772903,2447602063.0,Bolsa Família
2018-05-01,13919427,2484070258.0,Bolsa Família
2018-06-01,13736339,2445678903.0,Bolsa Família
2018-07-01,13768416,2594776093.0,Bolsa Família
2018-08-01,13951978,2625161338.0,Bolsa Família
2018-09-01,13738029,2593465749.0,Bolsa Família
2018-10-01,13945539,2623692879.0,Bolsa Família
2018-11-01,14227450,2665048930.0,Bolsa Família
2018-12-01,14142763,2641615721.0,Bolsa Família
2019-01-01,13760883,2585865978.0,Bolsa Família
2019-02-01,13914329,2609818702.0,Bolsa Família
2019-03-01,14105239,2636854154.0,Bolsa Família
2019-04-01,14134317,2632278179.0,Bolsa Família
2019-05-01,14339056,2677538805.0,Bolsa Família
2019-06-01,14072361,2627861084.0,Bolsa Família
2019-07-01,13841296,2609281233.0,Bolsa Família
2019-08-01,13826710,2608191408.0,Bolsa Família
2019-09-01,13537133,2561393842.0,Bolsa Família
2019-10-01,13505754,2564193203.0,Bolsa Família
2019-11-01,13189563,2520210959.0,Bolsa Família
2019-12-01,13170603,2525746007.0,Bolsa Família
2020-01-01,13228014,2526570558.0,Bolsa Família
2020-02-01,13216878,2521099871.0,Bolsa Família
2020-03-01,13058225,2505415999.0,Bolsa Família
2020-04-01,14274271,2685802435.0,Bolsa Família
2020-05-01,14281761,2687061795.0,Bolsa Família
2020-06-01,14283391,2684273056.0,Bolsa Família
2020-07-01,14283340,2732364850.0,Bolsa Família
2020-08-01,14283204,2730698342.0,Bolsa Família
2020-09-01,14274243,2734644805.0,Bolsa Família
2020-10-01,14274082,2731676029.0,Bolsa Família
2020-11-01,14273798,2731210446.0,Bolsa Família
2020-12-01,14274018,2730699896.0,Bolsa Família
2021-01-01,14232703,2712375600.0,Bolsa Família
2021-02-01,14264961,2665125714.0,Bolsa Família
2021-03-01,14524148,2708579689.0,Bolsa Família
2021-04-01,14611943,2726005236.0,Bolsa Família
2021-05-01,14695093,2735941278.0,Bolsa Família
2021-06-01,14694798,2731436567.0,Bolsa Família
2021-07-01,14694736,2732386422.0,Bolsa Família
2021-08-01,14655303,2729405897.0,Bolsa Família
2021-09-01,14655263,2728951796.0,Bolsa Família
2021-10-01,14654782,2724133147.0,Bolsa Família
2021-11-01,14355282,3231628680.0,Auxílio Brasil
2021-12-01,14184631,3191225007.0,Auxílio Brasil
2022-01-01,17361836,3672884516.0,Auxílio Brasil
2022-02-01,17268906,3758585119.0,Auxílio Brasil
2022-03-01,17773182,3867746074.0,Auxílio Brasil
