id,nome,siglaPartido,siglaUf,numMandatos
73433,Arlindo Chinaglia,PT,SP,8
74090,Átila Lins,PSD,AM,8
74537,Claudio Cajado,PP,BA,8
73531,Ivan Valente,PSOL,SP,8
74554,José Rocha,UNIÃO,BA,8
73441,Celso Russomanno,REPUBLICANOS,SP,7
74467,Damião Feliciano,UNIÃO,PB,7
73768,Dilceu Sperafico,PP,PR,7
74075,Elcione Barbalho,MDB,PA,7
74848,Jandira Feghali,PCdoB,RJ,7
74079,José Priante,MDB,PA,7
74317,Júlio Cesar,PSD,PI,7
74585,Lincoln Portela,PL,MG,7
73778,Luiz Carlos Hauly,PODE,PR,7
74784,Luiza Erundina,PSOL,SP,7
73692,Osmar Terra,MDB,RS,7
74574,Paulo Magalhães,PSD,BA,7
136811,Afonso Hamm,PP,RS,6
74057,Alice Portugal,PCdoB,BA,6
74262,Carlos Sampaio,PSD,SP,6
74060,Daniel Almeida,PCdoB,BA,6
74374,Geraldo Resende,PSDB,MS,6
74383,Giacobo,PL,PR,6
74273,Jefferson Campos,PL,SP,6
74550,João Leão,PP,BA,6
74856,Laura Carneiro,PSD,RJ,6
74156,Leonardo Monteiro,PT,MG,6
74398,Maria do Rosário,PT,RS,6
74158,Mário Heringer,PDT,MG,6
74159,Odair Cunha,PT,MG,6
74095,Pauderney Avelino,UNIÃO,AM,6
73486,Pompeo de Mattos,PDT,RS,6
74161,Reginaldo Lopes,PT,MG,6
74371,Rubens Otoni,PT,GO,6
74356,Silas Câmara,REPUBLICANOS,AM,6
74646,Aécio Neves,PSDB,MG,5
73579,Alberto Fraga,PL,DF,5
133439,André Figueiredo,PDT,CE,5
141391,Arnaldo Jardim,CIDADANIA,SP,5
73701,Benedita da Silva,PT,RJ,5
141398,Carlos Zarattini,PT,SP,5
74171,Chico Alencar,PSOL,RJ,5
141408,Cleber Verde,MDB,MA,5
141421,Eduardo da Fonte,PP,PE,5
141431,Fernando Coelho Filho,UNIÃO,PE,5
152605,Glauber Braga,PSOL,RJ,5
141450,Hugo Leal,PSD,RJ,5
141458,João Carlos Bacelar,PL,BA,5
141464,José Airton Félix Cirilo,PT,CE,5
141470,José Guimarães,PT,CE,5
74141,Josias Gomes,PT,BA,5
74253,Julio Lopes,PP,RJ,5
141480,Lázaro Botelho,PP,TO,5
74299,Leônidas Cristino,PDT,CE,5
74041,Luiz Couto,PT,PB,5
150418,Márcio Marinho,REPUBLICANOS,BA,5
141518,Paulinho da Força,SOLIDARIEDADE,SP,5
141516,Paulo Abi-Ackel,PSDB,MG,5
141531,Rodrigo de Castro,UNIÃO,MG,5
178835,Afonso Motta,PDT,RS,4
160527,Aguinaldo Ribeiro,PP,PB,4
160559,Alceu Moreira,MDB,RS,4
160545,Alexandre Leite,UNIÃO,SP,4
160553,Antonio Brito,PSD,BA,4
160541,Arthur Lira,PP,AL,4
160600,Arthur Oliveira Maia,UNIÃO,BA,4
160665,Augusto Coutinho,REPUBLICANOS,PE,4
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,4
160538,Bohn Gass,PT,RS,4
141411,Dagoberto Nogueira,PSDB,MS,4
62881,Danilo Forte,UNIÃO,CE,4
160552,Danrlei de Deus Hinterholz,PSD,RS,4
160588,Diego Andrade,PSD,MG,4
160599,Dimas Fabiano,PP,MG,4
143632,Domingos Neto,PSD,CE,4
160758,Domingos Sávio,PL,MG,4
160575,Erika Kokay,PT,DF,4
160640,Eros Biondini,PL,MG,4
74454,Eunício Oliveira,MDB,CE,4
160666,Félix Mendonça Júnior,PDT,BA,4
160598,Flávia Morais,PDT,GO,4
74270,Gilberto Nascimento,PSD,SP,4
160673,Giovani Cherini,PL,RS,4
160674,Hugo Motta,REPUBLICANOS,PB,4
141459,João Maia,PP,RN,4
139285,Lídice da Mata,PSB,BA,4
74478,Luciano Bivar,UNIÃO,PE,4
160510,Luis Tibé,AVANTE,MG,4
141485,Luiz Carlos Busato,UNIÃO,RS,4
141487,Luiz Fernando Faria,PSD,MG,4
162332,Luiz Nishimori,PSD,PR,4
166402,Magda Mofatto,PRD,GO,4
160535,Marcon,PT,RS,4
74428,Mendonça Filho,UNIÃO,PE,4
160556,Padre João,PT,MG,4
160642,Pastor Eurico,PL,PE,4
74160,Patrus Ananias,PT,MG,4
171617,Paulão,PT,AL,4
160517,Paulo Folletto,PSB,ES,4
160558,Paulo Freire Costa,PL,SP,4
122158,Pedro Paulo,PSD,RJ,4
160604,Pedro Uczai,PT,SC,4
160601,Pr. Marco Feliciano,PL,SP,4
74084,Raimundo Santos,PSD,PA,4
73801,Renildo Calheiros,PCdoB,PE,4
178972,Alex Manente,CIDADANIA,SP,3
178927,Aliel Machado,PV,PR,3
178937,Altineu Côrtes,PL,RJ,3
178881,Aluisio Mendes,REPUBLICANOS,MA,3
123756,Antônia Lúcia,REPUBLICANOS,AC,3
69871,Bacelar,PV,BA,3
178975,Baleia Rossi,MDB,SP,3
178829,Capitão Augusto,PL,SP,3
178993,Carlos Henrique Gaguim,UNIÃO,TO,3
178876,Célio Silveira,MDB,GO,3
178963,Covatti Filho,PP,RS,3
178908,Delegado Éder Mauro,PL,PA,3
178929,Diego Garcia,REPUBLICANOS,PR,3
92346,Eduardo Bolsonaro,PL,SP,3
178854,Elmar Nascimento,UNIÃO,BA,3
178871,Evair Vieira de Melo,PP,ES,3
66828,Fausto Pinato,PP,SP,3
72442,Felipe Carreras,PSB,PE,3
92699,Fernando Monteiro,PP,PE,3
191923,Flávio Nogueira,PT,PI,3
178966,Geovania de Sá,PSDB,SC,3
178964,Heitor Schuch,PSB,RS,3
178873,Helder Salomão,PT,ES,3
141456,Jilmar Tatto,PT,SP,3
178970,João Daniel,PT,SE,3
178910,Joaquim Passarinho,PL,PA,3
178857,Jorge Solla,PT,BA,3
74858,Lindbergh Farias,PT,RJ,3
178931,Luciano Ducci,PSB,PR,3
178954,Lucio Mosquini,MDB,RO,3
178866,Luizianne Lins,PT,CE,3
179000,Marcelo Álvaro Antônio,PL,MG,3
178983,Marcio Alvino,PL,SP,3
179001,Márcio Biolchi,MDB,RS,3
178943,Marcos Soares,UNIÃO,RJ,3
178858,Mário Negromonte Jr.,PP,BA,3
178843,Marx Beltrão,PP,AL,3
188097,Merlong Solano,PT,PI,3
178985,Miguel Lombardi,PL,SP,3
178895,Misael Varella,PSD,MG,3
178997,Moses Rodrigues,UNIÃO,CE,3
178896,Newton Cardoso Jr,MDB,MG,3
178986,Nilto Tatto,PT,SP,3
178987,Orlando Silva,PCdoB,SP,3
178860,Paulo Azi,UNIÃO,BA,3
178989,Renata Abreu,PODE,SP,3
163321,Ronaldo Nogueira,REPUBLICANOS,RS,3
178887,Rubens Pereira Júnior,PT,MA,3
73604,Rui Falcão,PT,SP,3
160635,Ruy Carneiro,PODE,PB,3
92776,Stefano Aguiar,PSD,MG,3
74376,Vander Loubet,PT,MS,3
74283,Vicentinho,PT,SP,3
74043,Wellington Roberto,PL,PB,3
204379,Acácio Favacho,MDB,AP,2
204560,Adolfo Viana,PSDB,BA,2
204528,Adriana Ventura,NOVO,SP,2
121948,Adriano do Baldy,PP,GO,2
204495,Airton Faleiro,PT,PA,2
204549,AJ Albuquerque,PP,CE,2
204501,Alencar Santana,PT,SP,2
204571,Alex Santana,REPUBLICANOS,BA,2
221148,Alfredinho,PT,SP,2
204356,Amaro Neto,REPUBLICANOS,ES,2
204423,André Ferreira,PL,PE,2
204515,André Janones,AVANTE,MG,2
109429,Benes Leocádio,UNIÃO,RN,2
204358,Beto Pereira,PSDB,MS,2
204374,Bia Kicis,PL,DF,2
204388,Bibo Nunes,PL,RS,2
204572,Capitão Alberto Neto,PL,AM,2
213762,Carla Dickson,UNIÃO,RN,2
204507,Carla Zambelli,PL,SP,2
204361,Carlos Chiodini,MDB,SC,2
204460,Carlos Jordy,PL,RJ,2
204426,Carlos Veras,PT,PE,2
204369,Caroline de Toni,PL,SC,2
204488,Célio Studart,PSD,CE,2
204504,Cezinha de Madureira,PSD,SP,2
205476,Charles Fernandes,PSD,BA,2
204476,Chiquinho Brazão,S.PART.,RJ,2
204462,Chris Tonietto,PL,RJ,2
204378,Coronel Chrisóstomo,PL,RO,2
204355,Da Vitoria,PP,ES,2
204367,Daniel Freitas,PL,SC,2
204409,Daniel Trzeciak,PSDB,RS,2
204459,Daniela do Waguinho,UNIÃO,RJ,2
204511,David Soares,UNIÃO,SP,2
204512,Delegado Marcelo Freitas,UNIÃO,MG,2
204450,Doutor Luizinho,PP,RJ,2
204518,Dr. Frederico,PRD,MG,2
204481,Dr. Jaziel,PL,CE,2
204351,Dr. Luiz Ovando,PP,MS,2
204412,Dr. Zacharias Calil,UNIÃO,GO,2
204364,Eli Borges,PL,TO,2
218086,Ely Santos,REPUBLICANOS,SP,2
198783,Emanuel Pinheiro Neto,MDB,MT,2
161550,Emidinho Madeira,PL,MG,2
204482,Euclydes Pettersen,REPUBLICANOS,MG,2
204368,Fabio Schiochet,UNIÃO,SC,2
204398,Felipe Francischini,UNIÃO,PR,2
204407,Fernanda Melchionna,PSOL,RS,2
204427,Fernando Rodolfo,PL,PE,2
